video_id,img_name,width,height,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
P01_01,P01_01_0,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_10,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_100,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1000,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1001,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1002,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1003,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1004,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1005,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1006,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1007,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1008,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1009,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_101,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1010,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1011,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1012,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1013,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1014,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1015,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1016,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1017,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1018,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1019,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_102,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1020,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1021,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
P01_01,P01_01_1022,1920,1080,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
